query,doc,label
talk.politics.misc,     ,1
talk.politics.misc,"--  In the R5 file fix-01 there is the line that reads as the subject line here.  I don't see a file fix-00.  When I got a few Hmmm... lines putting on fix-01, it made me wonder if I has missed 00. Am I off the mark?  Thank you.   ====================================================================== Ray Stell		stellr@smyrna.cc.vt.edu		(703) 231-4109",0
talk.politics.misc," Isn't name calling fun!  What do you think happened at Watergate? What do you think they broke into the building for? It wasn't to just look around. Do I have to draw you  a picture?  Whatever...  ------------------------------------------------------------------------------ ""Who said anything about panicking?"" snapped Authur.           Garrett Johnson ""This is still just culture shock. You wait till I've       Garrett@Ingres.com settled into the situation and found my bearings. THEN I'll start panicking!"" - Douglas Adams  ",1
talk.politics.misc,"1993 World Championships in Germany:  ====================================   Group A results:   SWEDEN - CANADA  1-4 (0-0,1-1,0-3)   1st:  2nd: CAN 0-1 Geoff Sanderson      (Kevin Dineen)                  7:24       SWE 1-1 Patrik Juhlin        (Jan Larsson)                  15:23 (pp)  3rd: CAN 1-2 Geoff Sanderson                                      5:54 (ps)       CAN 1-3 Mike Gartner         (Greg Johnson,Adam Graves)     10:44        CAN 1-4 Rod Brind'Amour      (Shayne Corson)                19:59              Shots on goal:    Penalties:    Attendance:     Referee:  Sweden     10 15 12 - 37     4*2min        6,500           Rob Hearn (USA)  Canada     10 13  6 - 29     6*2min   Bill Ranford stopped 36 shots to lead Canada to a 4-1 victory in a very well  played game.   The first period started with a give away from a Canadian defenseman and  Rundqvist came in alone on Ranford but couldn't put the puck over a sliding  Ranford. Later on, Kevin Dineen had a great opportunity but Soderstrom   played very well too. Stefan Nilsson had a couple of great dekes and set up  Jan Larsson but again Ranford came up big. Period ended scoreless but the edge  to Sweden in creating more opportunities.  Second period action saw Tommy Soderstrom making a GREAT save. Mark Recchi  made a backhanded cross ice pass to Lindros, Eric one timed the puck but  Soderstrom was there to make a glove hand save. At the 7-minute mark, Canada  started applying pressure on the Swedes. Sanderson-Dineen-Brind'Amour worked  hard and kept the puck in the Swedes' zone. Dineen gave the puck to Sanderson  who skated around a screened Swedish defenseman, came in on Soderstrom and  made a wrist shot that went it by Soderstrom's far post, 1-0 Canada.  The Swedes picked up their game after that, and Peter Forsberg had a shot  that hit Ranford's post (the inside), went parallel to the goal line and out.  Then Gartner got a penalty and the Swedes a power play. Jan Larsson took  a shot from the slot, Ranford gave a rebound to Larsson who saw Juhlin by  the far post, passed the puck and Ranford was beat, 1-1.  Third period started as the other periods, Swedes having most of the pressure  but the Canadians always dangerous once they were close to the Swede goal.  At 5:54, Canada created some great chances and Arto Blomsten was forced to  cover the puck in the Swede goal crease since Soderstrom lost sight of it.  That resulted in a penalty shot, since a defenseman can't cover the puck in   the goal crease. Geoff Sanderson took the penalty shot (his first ever, he  explained afterwards), and he put it low on Soderstrom's stick side, close  to the post. Excellent penalty shot to give Canada a go ahead goal.  Canada increased the lead on a very suspect offside, Gartner volleyed a  bouncing puck past Soderstrom to make it 3-1. The Swedes ran out of gas  then and couldn't produce as good scoring chances as they had for 2,5 periods.  The 4-1 goal came with only 1 second left, Rod Brind'Amour scoring on a  rebound from Soderstrom, where the Swedish defense already had their minds  in the dressing room.   A very good game (the best in the WC so far?), with both goalies playing  great. Soderstrom best player in Sweden, but Ranford even played better  than Soderstrom, that tells you something about Ranford. Probably the best  goalie in the world, were some comments after the game.  Canada played a very disciplined defense, Ranford pointed out that it is  easy to play well with a good defense. Lindros played A LOT and played well,  Sanderson naturally game hero with two goals.   The Forsberg-Naslund-Bergqvist line Sweden's best along with Larsson-Juhlin-  Nilsson. Swedish defense played well, 197 cm 104 kg Peter Popovic had the  task of neutralizing 192 cm 107 kg Eric Lindros, and managed this very well.  Ranger defenseman Peter Andersson finally got to go to the WC, and considering  that he landed in Germany just a few hours before the game, he played very  well. Swedish coach Curt Lundmark was irritated after the game, partly because  of the Swedes inability to score, and partly because of the linesman's mistake  on the 1-3 goal.   Lines information follows further below. - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -   ITALY - SWITZERLAND  1-0 (0-0,1-0,0-0)   1st:  2nd: ITA 1-0 Orlando          15:47  3rd:   Penalties: ITA 10*2min, SWI 8*2min  Referee: Anton Danko, Slovakia  Attendance: 3,500  -------------------------------------------------------------------------------   Group B results:   CZECH REPUBLIC - GERMANY  5-0 (0-0,3-0,2-0)   1st:  2nd: CZE 1-0 Kamil Kastak        1:51       CZE 2-0 Jiri Dolezal       12:26       CZE 3-0 Petr Hrbek         19:10  3rd: CZE 4-0 Radek Toupal        8:28       CZE 5-0 Josef Beranek      17:07   Penalties: CZE 7*2min, GER 6*2min 1*5min 1*10min game penalty  Referee: Darren Loraas, Canada  Attendance: 10,200   The Czechs were clearly better than the Germans, and the German crowd  showed their discontent by throwing in stuff on the ice after a while.  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -   FINLAND - USA  1-1 (0-0,1-0,0-1)   1st:  2nd: FIN 1-0 Jarkko Varvio      4:00  3rd: USA 1-1 Ed Olczyk          4:26   Penalties: FIN 7*2min, USA 6*2min  Referee: Valeri Bokarev, Russia  Attendance: 2,800   I hope some Finns can provide information from this game (I didn't see the  whole game). The Finns took the lead on a Jarkko Varvio slap shot from the  blue line, and a soft goal for an unscreened Mike Richter.  As far as the play in the second period goes, the Finns seemed to have the  most control, so a 1-0 lead was warranted as I saw it.  -------------------------------------------------------------------------------  		   SWEDEN			   CANADA   Goaltender:	30 Tommy Soderstrom		30 Bill Ranford   Defense:	 8 Kenneth Kennholt		 5 Norm Maciver 		14 Fredrik Stillman		24 Dave Manson  		 3 Peter Popovic		25 Geoff Smith 		55 Peter Andersson		19 Brian Benning  		 7 Arto Blomsten		 6 Terry Carkner 		28 Roger Akerstrom		 3 Garry Galley  						 4 Derek Mayer   Forwards:	29 Mikael Renberg		15 Dave Gagner 		 9 Thomas Rundqvist		27 Adam Graves 		34 Mikael Andersson		22 Mike Gartner  		19 Markus Naslund		20 Paul Kariya 		21 Peter Forsberg		88 Eric Lindros 		18 Jonas Bergqvist		 8 Mark Recchi  		 5 Patrik Juhlin		17 Rod Brind'Amour 		20 Jan Larsson			 9 Shayne Corson 		 4 Stefan Nilsson		11 Kevin Dineen  		22 Charles Berglund		10 Geoff Sanderson 		26 Michael Nylander		12 Greg Johnson 		(34 Andersson/18 Bergqvist)	14 Brian Savage  						16 Kelly Buchberger ",0
sci.space," Is it right??? That is new stuff for me. So it means that  you just can  not put a sattellite around around the Moon for too long because its  orbit will be unstable??? If so, what is the reason??? Is that because  the combined gravitacional atraction of the Sun,Moon and Earth  that does not provide a stable  orbit around the Moon???   C.O.EGALON@LARC.NASA.GOV  C.O.Egalon@larc.nasa.gov",1
sci.space,"Hello.  I have these items for sale.  Terms are UPS COD or prepayment by money order.  2 101 keyboards for IBM compatibles  1 Mitsumi 1.2 MB 5 1/4 floppy disk drive  1 Sony SRF-M30 digital AM/FM Stereo Walkman  The drive cost me $65, the keyboards were $40 each, and the Sony  radio cost $45.  I will sell for the best offers.  Thank You.",0
comp.sys.ibm.pc.hardware,"Hey folks.  Is it possible to short out your CMOS chip?  I think mine is fried. These are the symptoms...  I have to do the following to get my computer (a Gateway 486DX33) to boot...      Turn the power off      Disconnect the battery to the CMOS chip      Turn the power on      Get into setup upon getting the CMOS configuration error      Set up the CMOS      Exit the setup with [F10]  (phoenix bios)      Ignore the diskette 0 seek error and press [F1]  The computer then boots normally.  Both hard drives are accessible but the floppy drives are not.  I can back up over the network and such, but if I need to reboot, I have to turn off the computer and repeat the steps above.  If I simply <Ctl>-<Alt>-<Del>, the computer hangs after the memory test.  Does this sound like the CMOS chip is fried?  Can I buy another one? Where?  Thank you for your kind attention.  john",1
comp.sys.ibm.pc.hardware," Good statement! Should we apply empirical measurements to define exact social morals? Should morals be based on social rules? On ancient religious doctrines? It seems there will *NEVER* be a common and single denominator for defining morals, and as such defining absolute and objective morals is doomed to fail as long as humans have  this incredible talent of creative thinking.  Cheers, Kent",0
rec.motorcycles," the fancy piggyback shocks on the 550 (and the 750, i think.  i don't know about the zr1100) are very nice, 3-way adjustability.  the forks are crappy, they dive like MAD.  i had progressive springs installed and it made a huge difference.  cheap fix, MUCH improvement.",1
rec.motorcycles," I don't know about C-5's,  but on C-130's  which are regularly used for Medium  haul  Personnel transport by the Army,  only have a funnel and a garden hose  in the aft.  The female personnel hate long trips in the box cars.",0
rec.motorcycles,"  What's the problem here?  Back in 1958 I rode a Puch 175 from Paris to Barcelona and back.  That was a two stroke, and back then it was representative of the size of bikes on the road.  A 350 was considered a big bike, and the superbikes of the day were 500cc or 600cc.  Anything bigger was real rare.   Charlie Smith,  DoD #0709,  doh #0000000004,  1KSPT=22.85",1
rec.motorcycles,"--  In the R5 file fix-01 there is the line that reads as the subject line here.  I don't see a file fix-00.  When I got a few Hmmm... lines putting on fix-01, it made me wonder if I has missed 00. Am I off the mark?  Thank you.   ====================================================================== Ray Stell		stellr@smyrna.cc.vt.edu		(703) 231-4109",0
comp.sys.mac.hardware,"I have a 3 month old that seems to have acquired the jitters of late.  The 14"" Apple color monitor that I'm using with an LCIII sort of jiggles to the left and right all the time now. I have attempted to relocate the monitor to make sure the problem isn't interference from something else, but the  problem seems to remain no matter what I do.  Has anybody encountered this problem?  Thanks,",1
comp.sys.mac.hardware," I'll throw in a vote for a Metzler ""economy"" tire, the ME77. Good for mid-size older bikes. Rated to 130mph. Wearing well and handles my 12 mile ride(twisties) to work well on the SR500. Costs a bit  more than the Chengs/IRC's etc, but still less than the Sport Metzlers for the newer bikes. Cost from Chaparral is about $60 for the front, and $70 for the rear.",0
talk.politics.misc,     ,1
talk.politics.misc," Does this organization have an official e-mail address these days? (an address for any of the SF Bay Area Lodges, e.g. Thelema would do.)                                       93...                                        A.Lizard ",0
comp.graphics, [A lot of interesting stuff about gopher - deleted]    I've heard of it but lost the intro posting that came out a while back - could you post it again?  I think it's of general interest.   Ben,1
comp.graphics,Since we're on the subject of brakes.... does anyone know why a 4WD Vauxhall/ Opel disengages drive to the rear wheels when the brakes are applied? Vauxhall boast about how the car is more stable in fwd mode during braking than in 4wd mode.... how is this so?  						...Shaz... ,0
rec.sport.baseball,"Here is the Colorado Rockies openning day cast:  Pitchers -------- Scott Aldred (L)  MLB Totals  31 games, 6-14, 5.08 ERA, 0 saves Andy Ashby (R)                18 games, 2-8,  6.72 ERA, 0 saves Willie Blair (R)              67 games, 10-15,4.57 ERA, 0 saves Butch Henry (L)               28 games, 6-9,  4.02 ERA, 0 saves Darren Holmes (R)             95 games, 5-9,  4.10 ERA, 9 saves David Neid (R)                 6 games, 3-0,  1.17 ERA, 0 saves Jeff Parrett (R)             341 games, 46-30,3.65 ERA,21 saves Steve Reed (R)                18 games, 1-0,  2.30 ERA, 0 saves Bruce Ruffin (L)             223 games, 43-64,4.31 ERA, 3 saves Bryn Smith (R)               354 games,106-90,3.44 ERA, 6 saves Gary Wayne (L)               147 games, 8-8,  3.44 ERA, 3 saves  The rest",1
rec.sport.baseball," If I rember correctly, Lotus Notes gives u this possiblity, among other things...",0
rec.sport.hockey,"Not to mention, Mr. Francis is an incredibly nice person.  Over Christmas break, a friend of mine had a little Xmas gathering.  The two of us drove to Ron's house.  While I stayed in the car out of shyness, my friend went to the door and rang the bell.  Ron answered and my friend introduced himself.  He then proceeded to invite Francis to the party.  Ron declined because he ""had to watch his daughter.""  He then reached out and shook my friend's hand!  I know this isn't r.s.b., but I don't think Barry Bonds would be this polite in this situation.",1
rec.sport.hockey," 	While I think it is unrealistic to suppose that the federal agencies will fail to promptly comply with a court order, there is  still a good point here.  Local law enforcement will be unable to perform a wiretap without bringing in federal agencies.   Based on the (possibly incomplete) understanding of the system quoted from D. Denning, only the FBI will be able to decrypt the system key encryption layer, which seems to be needed even to identify what escrowed keys to request.  This moves a great deal of law enforcement power to the federal level. 	The reason I like this point is that it may sway or even persuade people who don't generally line up with the civil liberties crowd.  A national police force is opposed by people from a broad range of political  viewpoints. ",0
sci.electronics,"Radio Shack has canceled their ""Battery of the Month"" Club.  Does  anyone know why?    They say they'll honor existing cards in customer hands, but no new cards will be issued.",1
sci.electronics," Ok, but have you seen Tabaracci play yet?  In his two starts and his relief effort for Beaupre, he has looked mighty sharp - don't forget the shutout.  I think he's let in just four goals over eight periods of play.  I like Hrivnak, but we might actually have to give some credit to David Poile for a change after this trade.  Hopefully if Tabaracci starts against the Isles tonight, I haven't jinxed him.",0
comp.os.ms-windows.misc,Does anyone know where the program MONOUMB.386 is available .. I have  checked my Windows system disks and MONOUMB2.386 is there but not the  other one.. Thanks..  Stan Kucera  ,1
comp.os.ms-windows.misc," Wasn't there an 85,000 New York at Cleveland game in the late 40's?",0
rec.sport.baseball,"Is there any judgement call on the part of the scorer for sac fly RBI's? This is the situation that brought the question up:  The Red Sox were up in the bottom of the 9th by a score of 5-1.  The Mariners had the bases loaded with 1 out.  The batter hits a fly to center, which the fielder catches.  The runner at third tags and scores without a throw.    Now, without a judgement call (and I don't think there is one), this is an RBI for the batter.  It seems to me that a better name for this would be ""defensive indifference"", since it doesn't really matter whether the guy at third scores at that point.  (I know, I can think of several ""If the Mariners stole third and second, which opening the base would allow, and then the batter hit a grounder which the third baseman gets deep in the hole between himself and third, he wouldn't have a play at home, third, or second for the out, and maybe he therefore can't make the throw to first to get the last out, etc... scenarios, too.  But does it _really_ matter if this guy scores this way when you're down by 4?  If the tying run is going to score, so is the guy on third.)  The point is that the batter (IMO) shouldn't get ""credit"" (an RBI) for utterly failing to do his job - which at this point is to get a hit or a walk, not trade an out for one run.  What do you guys think?",1
rec.sport.baseball,"Hey folks.  Is it possible to short out your CMOS chip?  I think mine is fried. These are the symptoms...  I have to do the following to get my computer (a Gateway 486DX33) to boot...      Turn the power off      Disconnect the battery to the CMOS chip      Turn the power on      Get into setup upon getting the CMOS configuration error      Set up the CMOS      Exit the setup with [F10]  (phoenix bios)      Ignore the diskette 0 seek error and press [F1]  The computer then boots normally.  Both hard drives are accessible but the floppy drives are not.  I can back up over the network and such, but if I need to reboot, I have to turn off the computer and repeat the steps above.  If I simply <Ctl>-<Alt>-<Del>, the computer hangs after the memory test.  Does this sound like the CMOS chip is fried?  Can I buy another one? Where?  Thank you for your kind attention.  john",0
alt.atheism," I'm sure zero-intested economical systems survive on a small-scale, co-ops is not an Islamic invention, and we have co-operatives working all around the world. However such systems don't stand the corruption of a large scale operation. Actually, nothing could handle human greed, IMHO. Not even Allah :-).  Cheers, Kent",1
alt.atheism,"Hi folks  Say, I'm new to R5 and have one quick question.  In using xon ( xon  <machine_name> )  , I notice that it always comes up with a very small window .  I'm pretty sure its the default font.  My xterms all work normally. Is xon supposed to read your .Xresources for a font size ?  xrdb -q appears to show the right stuff.  I can use xon with arguments such as  xterm -fn 10x20    etc and everything is correct.  Of course you could always do a  simple script to do this , but I have a feeling I'm missing something simple here.  Comments / suggestions appreciated.  Thanks in advance",0
comp.sys.mac.hardware,"The Duo's can drive Apple's 16"" monitor at 832x624 resolution and 256 colors, I think. What non-Apple 16-17"" monitors can also be used? Would a multisync NEC-5FG work as well at the same resolution? What are the outstanding points of the Apple monitor when compared with these other monitors?",1
comp.sys.mac.hardware,seningen@maserati.ross.com (Mike Seningen)    The funny thing about the digital dash (87 T-bird) with the 85mph speedo  limit was that if you pressed the button to convert to kilometers it would  read all the way up to 187kph.  At this point the stock anemic 302 would get  short of breath.  This of course was equivalent to about 116mph (hehe).I bet  I really coulda confused this thing if I'd toyed with the engine and rolled the stupid thing (the digits were limited to 199).     I've gotta agree with ya on the analog clock w/digital dash though.  My girlfriend had a '85 TurboCoupe with a digital clock and analog gauges/radio. Go figure...   usenet@constellation.ecn.uoknor.edu (Usenet Administrator)    I had a great feature on my T-bird....  I could pull the key out and  leave the ignition on.  This scared the hell out of me the first time it happened but I kinda grew to like it.  Musta been a bad key copy or  something.  Mark Novakovic,0
sci.space," I don't know about C-5's,  but on C-130's  which are regularly used for Medium  haul  Personnel transport by the Army,  only have a funnel and a garden hose  in the aft.  The female personnel hate long trips in the box cars.",1
sci.space," About a year ago, some kids tossed a rock off an overpass on I-94 near Eau Claire, Wisconsin and it killed the driver below.  (I believe he was a schoolteacher from Minnesota.)",0
talk.religion.misc,"  Let us explore this interesting paragraph point by point, sentence by sentence.   1) We are talking about origins, not merely science.  Origins of what?  Are we speaking of the origins of life, the human species, the universe, physical law, biological diversity or what?  2) Science cannot explain origins.  This is a false statement unless it is carefully qualified.  It depends on what origins we are talking about.  3) For a person to exclude anything but science from the issue of origins is to say that there is no higher truth than science.  Again, this is a false statement.  To begin with, the notion of ""higher truth"" is distinctly dubious.  Many people believe that there are ways to ascertain truth that are not in the repetoire of science; they even believe that there are ways that are more reliable and certain.  Many believe that there are truths that cannot be expressed using the language of science.  Let it be so.  These truths are neither ""higher"" or  ""lower""; they are simply true.  More to the point, restricting one's discussion of origins to science does not reject other sources of knowledge; it simply restricts the scope of discussion.  4) This is a false premise.  If this is intended as asserting that the previous sentence was false then (4) is actually true.  However the context identifies it as another false [or at least theologically unsound] statement.  5) By the way, I enjoy science.  On the evidence Mr. Rawlins lacks sufficient understanding of science to enjoy science in any meaningful sense.  One might just as well say that one enjoys literature written in a language that one cannot read. However one cannot mark this sentence as false -- to follow the analogy, perhaps he likes the pretty shapes of the letters.  6) It is truly a wonder observing God's creation.  Let us not quibble; count this one as true.  7) Macroevolution is a mixture of 15 percent science and 85 percent religion [guaranteed within three percent error :) ]  Still another false statement.  However one can make it come out true with the following contextual modification:  ""Macroevolution, as misunderstood by Rawline, is a mixture of 15 percent of what Rawlins erroneously thinks of as science, and 85 percent of what Rawlins erroneously thinks of as religion.""  -----  It is distinctly noticeable that Mr. Rawlins fails miserably to touch on truth except when he reports personally on what he feels.  [I do him the justice of assuming that he is not misinforming us as to his personal reactions.]  One can account for this by the hypothesis that he has an idiosyncratic and personal concept of truth.",1
talk.religion.misc," If I rember correctly, Lotus Notes gives u this possiblity, among other things...",0
comp.sys.ibm.pc.hardware,"Hey folks.  Is it possible to short out your CMOS chip?  I think mine is fried. These are the symptoms...  I have to do the following to get my computer (a Gateway 486DX33) to boot...      Turn the power off      Disconnect the battery to the CMOS chip      Turn the power on      Get into setup upon getting the CMOS configuration error      Set up the CMOS      Exit the setup with [F10]  (phoenix bios)      Ignore the diskette 0 seek error and press [F1]  The computer then boots normally.  Both hard drives are accessible but the floppy drives are not.  I can back up over the network and such, but if I need to reboot, I have to turn off the computer and repeat the steps above.  If I simply <Ctl>-<Alt>-<Del>, the computer hangs after the memory test.  Does this sound like the CMOS chip is fried?  Can I buy another one? Where?  Thank you for your kind attention.  john",1
comp.sys.ibm.pc.hardware,"For updated playoff updates (scores, stats, summaries) e-mail me. (mmilitzo@skidmore.edu) with the subject STATS. ",0
misc.forsale,"FOR SALE  MS-DOS 6.0 UPGRADE  open but unregistered 3.5"" disks  $40 or best offer  Please mail replies to gt7187c@prism.gatech.edu  ",1
misc.forsale," I don't know about C-5's,  but on C-130's  which are regularly used for Medium  haul  Personnel transport by the Army,  only have a funnel and a garden hose  in the aft.  The female personnel hate long trips in the box cars.",0
rec.motorcycles,"  What's the problem here?  Back in 1958 I rode a Puch 175 from Paris to Barcelona and back.  That was a two stroke, and back then it was representative of the size of bikes on the road.  A 350 was considered a big bike, and the superbikes of the day were 500cc or 600cc.  Anything bigger was real rare.   Charlie Smith,  DoD #0709,  doh #0000000004,  1KSPT=22.85",1
rec.motorcycles,"    |                                                                          |> Religion (especially Christianity) is nothing more than a DRUG.         |> Some people use drugs as an escape from reality.  Christians inject     |> themselves with jeezus and live with that high.                         |                                                                          |Your logic is falty.  If Christianity is a DRUG, and once we die we       |die, then why would you be reluctant to embrase this drug so that         |while you are alive you enjoy yourself.                                   |                                                                       Pardon the harshness that follows...  Once, I told a cradle christian: Please do not take advantage of Jesus or anybody for the sake of your own (selfish) realization or search for true faith/religion/belonging/'being in'/fear of hell/vanity/etc.   Instead of serving yourself, _we must be serving Him_.   *Until you have comprehended this truth, you are only doing things for your  own egoism.*  Let us not use Jesus, our religion, the Bible, anything or anybody as a means of escape or getting ecstatic or high. We are God's children and we must have a true and authentic relationship with our Father with obedience, faith, hope and  love and works (the last as the most important).  Beware of our 'materialistic', 'worldly' and 'selfish' motives.   Atheists have this ground against us and I believe they are right about *some* who call themselves 'christians'.",0
talk.politics.mideast,"   It is 'Serdar', 'kocaoglan'.   Just say so.   The SUNDAY TIMES 8 March 1992  Morgues fill as Azeris head for all-out war  -------------------------------------------  Thomas Goltz, the first to report the massacre by Armenian soldiers in  the worst violence since the breakup of the Soviet Union, reports from  Agdam  ------  Khojaly used to be a barren town, with empty shops and treeless dirt  roads. Yet it was still home to thousands of people who, in happier  times, tended fields and flocks of geese. Last week it was wiped off  the map.  .......  As sickening reports trickled in to the Azerbaijani border town of  Agdam, and the bodies piled up in the morgues, there was little doubt  that Khojaly and the stark foothills and gullies around it had been  the site of the most terrible massacre since the Soviet Union broke  apart.  .......  I was the last Westerner to visit Khojaly. That was in january and  people were predicting their fate with grim resignation. Zumrut Ezoya,  a mother of four on board the helicopter that ferried us into the  town, called her community ""sitting ducks, ready to get shot"". She and  her family were among the victims of the massacre on February 26.  .......  ""The Armenians have taken all the outlying villages, one by one, and  the government does nothing."" Balakisi Sakikov, 55, a father of five,  said. ""Next they will drive us out or kill us all,"" said Dilbar, his  wife. The couple, their three sons and three daughters were killed in  the assault, as were many other people I had spoken to.  ......  ""It was close to the Armenian lines we knew we would have to cross.  There was a road, and the first units of the column ran across then  all hell broke loose. Bullets were raining down from all sides. we had  just entered their trap.""  The azeri defenders picked off one by one. Survivors say that Armenian  forces then began a pitiless slaughter, firing at anything moved in  the gullies. A video taken by an azeri cameraman, wailing and crying  as he filmed body after body, showed a grizzly trail of death leading  towards higher, forested ground where the villagers had sought refuge  from the Armenians.  ""The Armenians just shot and shot and shot,"" said Omar Veyselov, lying  in hospital in Agdam with sharapnel wounds. ""I saw my wife and  daughter fall right by me.""  People wandered through the hospital corridors looking for news of the  loved ones. Some vented their fury on foreigners: "" Where is my  daughter, where is my son ?"" wailed a mother. ""Raped. Butchered. Lost.""  Azerbaijan has said as many as 1,000 refugees were killed as they  tried to flee. The Armenians have denied this, saying the civilians  were caught in ""crossfire"".  .......   Are you idiot for real?       'After all, who remembers today the extermination of the Tartars?'       (Adolf Hitler, August 22, 1939: Ruth W. Rosenbaum (Durusoy),            ""The Turkish Holocaust - Turk Soykirimi"", p. 213.)   You must be the only moronian left on the net to believe those  ASALA/SDPA/ARF forgeries. What a clown...                       'Kill Turks and Kurds wherever you find them and in                       whatever circumstances you find them. Turkish children                       also should be killed as they form a danger to the                       Armenian nation.' (Hamparsum Boyadjian - 1914)[1]   [1] M. Varandian, ""History of the Dashnaktsutiun,"" p. 85.   Serdar Argic",1
talk.politics.mideast,"Build 59 causes 2 exceptions when I exit Windows. In fact, I have had this happen on all builds after 44, which shipped with my Gateway system.  Am I doing something wrong, or is this problem commonly overlooked?",0
talk.politics.guns," There are roughly 1200 fatal, firearms-related accidents each year. The large majority involve rifles and shotgun; there are under 500 fatal handgun accidents each year. I really doubt all of those occur while the pistol is holstered, so the number of ""self-inflicted gunshot wounds by people wearing thigh holsters"" is probably well under 250 per year.   Handguns designs have included a ""hammer block"" since around 1960 or earlier. This is a metal part which physically seperates the cartridge and the firing pin: Even under impact, the gun cannot fire. The hammer block is connected to the trigger and is pulled out of the way as the trigger is pulled. As a result, modern pistols can fire _only_ if the trigger is pulled (or  in some cases, if they are cocked by hand and then dropped.)    I don't know about animal attacks, but there are 23,500 murders  each year and under 500 die in the manner you suggest. If only 2.1% of the murders were killings by ""wacko""s, you would be wrong. Worse, there are also 102,500 rapes and 1,055,000 aggravated assaults each year. These numbers make violent attacks, and  preventing them, thousands of times more significant than the accidents you are worried about.  (These figures, by the way, are from the FBI's ""Uniform Crime Report"" for 1990. I'll stop by a library tomorrow and look at the ""National Crime Victimization Survey"", which is more specific about where and when the crimes occured.)",1
talk.politics.guns,"  Ah, now here is the core question. Let me suggest a scenario.   We will grant that a God exists, and uses revelation to communicate with humans. (Said revelation taking the form (paraphrased from your own words) 'This infinitely powerful deity grabs some poor schmuck, makes him take dictation, and then hides away for a few hundred years'.)  Now, there exists a human who has not personally experienced a revelation. This person observes that not only do these revelations seem to contain elements that contradict rather strongly aspects of the observed world (which is all this person has ever seen), but there are many mutually contradictory claims of revelation.   Now, based on this, can this person be blamed for concluding, absent a personal revelation of their own, that there is almost certainly nothing to this 'revelation' thing?    Absent this better language, and absent observations in support of the claims of revelation, can one be blamed for doubting the whole thing?   Here is what I am driving at: I have thought a long time about this. I have come to the honest conclusion that if there is a deity, it is nothing like the ones proposed by any religion that I am familiar with.  Now, if there does happen to be, say, a Christian God, will I be held accountable for such an honest mistake?   Sincerely,   Ray Ingles               ingles@engin.umich.edu",0
rec.sport.baseball," The major problem with this analysis is that it ignores age.  Even if Morris were performing as well as Clemens right now, and were likely to this season, nobody would trade Clemens for Morris straight up because Clemens has more of his career left.",1
rec.sport.baseball,"I have a 3 month old that seems to have acquired the jitters of late.  The 14"" Apple color monitor that I'm using with an LCIII sort of jiggles to the left and right all the time now. I have attempted to relocate the monitor to make sure the problem isn't interference from something else, but the  problem seems to remain no matter what I do.  Has anybody encountered this problem?  Thanks,",0
soc.religion.christian," [a lot of stuff deleted -- i'm focusing on just one point]  i'm a little confused about the difference between this ""weak atheism"", as you put it, and agnosticism.  is agnosticism not believing or necessarily disbelieving in anything, or what is it?  i used to be agnostic (by this definition) -- but if weak atheism includes not necessarily believing in God, then i guess i was one of those.  ???  actually what i have a hard time understanding is people who do not ever decide what they believe.  i am constantly in a state of self-examination, as it would appear many others are as well (including the atheists, of course -- i'd assume that's why they're here!).  i guess some people don't really consider it important to think about the answers to ""life, the universe and everything"" -- any comment?  just wondering....   tough call, as these things seem to be based on faith -- wish i could help you, but i already tried once with someone who was a self-professed agnostic-thinking-of-becoming-a -christian, and it didn't work too well!  especially tough as i'm still mulling over whether or not i believe in miracles (looks like another email to my chaplain is coming up....).  all i can do is wish you the best of luck, and please do post what you find.   hmm, how so?  i guess i really don't understand.  there are times, of course, when i say to myself ""of course i have absolutely no way of knowing that what i believe in is true except the satisfaction and sense of peace i get from it -- which of course could just be psychological"".  somehow i live with this anyway -- is this what you mean?  the only ""proof"" i have is that i believe God spoke to me once -- which could of course be my own imagination.  the odd thing is, though, that if you don't at some point start believing in something, after a while it all gets sort of ridiculous.  maybe it's just a question of where you draw the line.   i'll only add one question -- have you read pascal?  what did you think of him if you did?  also you may (or may not) be interested by cslewis/ _surprised by joy_.  i'd be interested in knowing what you think of him, no sarcasm at all intended.  (i just say this because one can never know how one's written words will be interpreted.  i am not interested in converting you, since i don't seem to have whatever it would take -- proof -- to do so.  i'm just interested in learning.)   i like this. ",1
